populacao,indice_renda_per_capta,porcentagem_nivel_basico,porcentagem_sem_nivel_medio,porcentagem_com_nivel_superior,porcentagem_desempregados,porcentagem_de_roubos_a_cada_100_mil
10404,17028,7.23,20.85,31.07,5.49,870.43
10405,11911,15.08,37.82,8.51,8.35,249.28
10415,16531,9.61,23.43,19.86,6.65,9.22
10420,12822,18.34,34.62,13.1,6.84,163.84
10422,25409,5.68,11.35,41.55,02.03,47.2
10426,12163,13.15,33.76,12.99,3.16,98.43
10428,10511,13.15,33.01,12.64,8.24,46.94
10433,15307,3.42,15.5,18.85,2.43,12.68
10444,12564,7.88,23.12,13.14,3.74,18.13
10446,20951,7.27,17.02,29.15,3.65,28.97
10447,15315,10.18,25.13,9.94,6.95,9.32
10448,21799,6.38,14.65,40.8,4.17,350.94
10448,15275,4.49,15.44,14.46,4.53,55.9
10453,12464,10.83,25,16.09,1.93,76.94
10464,11543,15.48,38.02,15.86,8.71,162.17
10486,20529,5.83,13.65,36.96,4.58,71.67
10497,16298,12.67,28.52,20.77,6.22,9.24
10507,13742,5.11,14.19,22.41,5.82,24.91
10511,11174,22.7,40.64,12.4,8.12,94.29
10513,11784,14.76,35.01,11.45,7.56,109.19
10531,26103,1.99,6.77,49.08,4.2,18.44
10542,9397,18.7,39.06,14.77,9.13,141.42
10555,12944,8.56,19.62,15.23,5.62,77.33
10567,16201,12.84,27.73,9.28,4.13,28.47
10588,11899,10.97,28.8,15.67,4.18,511.55
10592,18111,5.22,15.03,26.43,4.14,83.86
10600,16945,6.74,18.67,22.01,4.77,46.39
10602,42951,0.63,3.55,71.2,1.61,85.92
10603,23059,5.34,13.63,39.14,2.93,27.38
10610,10474,18.77,35.28,12.06,07.07,33.44
10621,17310,6.65,17.83,23.2,3.59,149.83
10636,19091,10.96,23.97,28.04,6.12,165.95
10637,13164,09.07,21.74,20.9,6.62,170.42
10639,13889,9.47,27.44,17.3,6.97,398.19
10678,10317,18.42,38.5,9.74,7.12,9.15
10683,9053,13.62,27.47,19.7,11.22,42.65
10687,8025,12.87,33.44,09.01,12.86,215
10690,8375,18.62,38.26,21.1,9.67,15.99
10701,11723,12.14,38.35,7.55,5.25,103.86
10704,13273,16.88,25.05,14.01,3.64,8.75
10712,9291,18.01,40.25,15.17,6.76,287.88
10725,14253,7.69,20.35,21.69,6.87,17.88
10733,14935,17.83,38.64,15.3,7.65,160.03
10733,10109,31.9,43.59,14.98,5.82,41.04
10742,13945,4.55,18.18,18.58,4.72,18.31
10742,15452,10.61,26.45,21.7,6.58,214.46
10747,22482,4.66,15.38,25.46,3.93,170.93
10747,10873,13.23,30.57,12.3,5.41,26.89
10753,10048,14.37,35.59,8.71,9.34,9.23
10762,24947,2.85,08.03,39.91,2.43,17.32
10764,13424,8.18,24.27,10.88,8.18,144.69
10793,16048,9.24,22.79,16.17,3.91,126.27
10795,12153,13.96,29.44,14.25,5.6,17.01
10807,29230,1.36,3.52,61.98,2.1,19.42
10809,9089,28.2,48.48,08.07,11.51,18.58
10815,6014,46.88,59.32,7.27,13.29,59.98
10823,13290,6.93,18.96,16.12,4.62,66.39
10828,16521,14.73,30.42,15.79,08.03,28.46
10830,31664,3.41,10.09,43.21,4.11,8.59
10836,13997,11.55,25.51,16.96,5.99,126.74
10850,11637,07.01,23.74,15.61,4.31,8.94
10862,15599,6.7,18.05,20.94,4.53,09.04
10864,9041,21.83,44.05,14.28,11.23,354.36
10883,27754,1.64,06.02,53.23,2.24,26.29
10885,11168,11.48,26.85,13.33,9.67,35.89
10886,9924,19.38,35.51,10.78,9.97,67.98
10891,13206,10.47,31.06,6.18,9.78,17.87
10903,12623,4.42,14,16.2,4.73,16.54
10904,13842,9.76,27.39,20.06,8.18,244.68
10922,14227,18.74,33.85,11.63,05.01,192.82
10923,16148,6.31,14.77,15.31,3.32,33.24
10935,12014,11.18,33.24,5.64,6.4,60.51
10940,14605,7.1,20.26,15.33,3.36,8.77
10941,9558,24.08,45.68,10.86,9.28,176.32
10946,18940,2.88,12.4,26.84,4.24,162.66
10950,10113,9.34,27.85,9.35,10.38,16.68
10967,10766,17.88,34.91,15.65,9,17.7
10968,14633,8.12,23.7,17.85,3.47,7.66
10970,7801,25.54,44.6,11.27,17.4,43.93
10971,16143,5.34,15.98,17.56,05.07,8.87
10976,10246,12.7,33.09,6.3,9.13,18.43
10982,21036,12.56,25.64,21.07,4.19,43.74
10988,11602,15.15,30.9,12.48,6.44,35.79
10993,14331,6.25,15.88,21.05,2.46,42.12
11005,16930,5.46,15.64,29.42,2.91,8.47
11005,19038,5.66,20.55,15.4,3.35,92.2
11026,10566,18.36,39.42,6.47,8.17,43.53
11037,12277,15.56,35.31,15.8,4.44,245.68
11038,10570,9.82,32.4,10,6.87,640.97
11041,16652,1.61,6.8,29.74,4.34,14.95
11041,15469,4.96,17.16,16.29,7.67,96.74
11066,12644,12.08,27.01,17.73,07.02,181.44
11069,12279,10.45,36.55,5.3,11.03,16.94
11077,15611,4.65,14.33,34.1,3.52,15.32
11096,13772,5.46,11.77,56.99,5.77,26.92
11104,15056,3.42,16.79,16.18,7.25,76.22
11114,14266,2.53,9.5,34.85,3.57,164.11
11127,14710,5.48,19.1,16.87,4.74,8.76
11139,11021,13.27,33.75,15.05,7.72,200.38
11143,14616,4.37,14.45,19.28,6.97,15.1
11151,12491,5.53,15.96,14.57,3.92,38.28
11151,10230,13.12,31.03,17.82,6.84,151.06
11157,16211,10.87,23.81,18.82,4.85,24.66
11162,7635,23.94,44.84,10.82,13.93,78.28
11163,13928,10.33,26.53,16.5,4.88,370.72
11194,9752,24.59,45.4,9.82,07.05,65.1
11199,12299,8.48,22.29,17.38,6.61,51.64
11207,21610,5.78,16.3,30.35,2.8,52.65
11215,19678,6.71,18.58,21.07,6.12,57.71
11216,12785,11.85,37.57,5.39,8,229.63
11216,17783,6.2,21.19,20.36,3.44,51.95
11218,8262,28.57,49.27,04.01,8.37,309.2
11219,15576,7.44,21.3,17.76,2.2,214.79
11224,11587,7.83,22.71,13.11,10.57,17.52
11227,11256,19.77,40.08,10.47,6.1,154.47
11234,18481,5.48,16.67,29.34,4.23,62.16
11235,10965,12.99,26.49,14.51,6.5,21.86
11238,8173,32.85,52.91,10.17,14.88,84.5
11245,8483,12.15,23.06,25.28,09.08,32.04
11249,13495,12,25.29,13.57,5.32,8.9
11257,12073,9.38,23.53,12.43,3.63,51.17
11265,12032,12.48,23,15.97,4.67,8.93
11272,8780,3.16,14.94,12.98,6.41,14.47
11280,14684,0.74,5.4,35.93,2.94,54.58
11284,13605,5.78,13.91,26.83,2.91,7.82
11290,12249,15.1,30.01,13.93,4.48,26.48
11290,17471,3.3,11.47,35.25,4.13,20.55
11294,21204,6.17,17.56,27.34,3.97,101.18
11304,11483,9.78,29.14,12.54,7.86,26.08
11305,8145,21.67,41.04,9.98,12.87,58.57
11312,16975,6.87,19.9,21.92,2.27,85.53
11314,8872,12.31,36.03,6.14,17.07,385.09
11329,12818,8.55,21.93,14.26,6.74,24.87
11339,14803,5.42,12.45,18.05,04.02,14.68
11343,26855,1.99,10.3,31.13,2.95,107.53
11353,12412,7.84,26.21,12.16,7.28,50.81
11354,11451,11.96,25.5,13.06,9.29,17.62
11354,18629,4.71,18.67,21.15,4.35,33.17
11365,27154,5.17,11.45,41.85,4.13,153.94
11389,8900,21.4,41.9,6.41,9.57,89.26
11414,10678,15.69,32.07,14.23,4.36,84.38
11427,24281,4.41,12.49,30.49,3.46,8.74
11432,15795,4.83,15.77,18.98,3.15,26.49
11439,29773,4.91,9.49,48.6,2.71,24.78
11451,12444,8.78,24.91,12.28,10.77,41.91
11452,15866,5.43,16.17,20.29,2.84,44.97
11472,10197,25.14,40.17,11.44,7.44,40.49
11475,13836,6.47,22.93,14.11,5.33,42.25
11482,18182,2.92,10.14,25.7,3.36,22.38
11488,21339,6.18,20.42,22.04,4.58,67.91
11492,6786,14.04,39.3,07.01,8.83,8.2
11500,12078,0.2,5.85,32.44,5.32,35.49
11511,17355,4.83,14.9,16.83,5.94,50.73
11514,11006,19.15,39.18,9.78,7.47,102.08
11523,13863,12.78,19.62,16.51,3.23,7.89
11530,11822,6.97,16.26,42.9,4.87,149.77
11532,32427,5.78,12.06,46.78,2.67,16.58
11538,22546,6.25,15.65,34.53,2.97,33.47
11553,12604,3.41,11.13,56.72,4.87,221.33
11587,16273,3.88,11.61,28.41,2.67,22.8
11590,29397,3.77,11.44,46.09,2.15,75.56
11591,8539,15.74,35.93,15.95,10.95,244.74
11604,17272,2.53,12.96,21.08,4.31,8.39
11618,11065,9.6,20.68,11.47,7.52,08.03
11628,28763,2.15,8.86,55.62,1.78,34.36
11631,17438,5.18,14.97,15.62,05.09,33.36
11632,17804,9.36,21.7,24.47,5.46,106.07
11643,9157,19.14,40.41,15.11,12.39,209.85
11656,12820,08.02,23.14,15.25,5.63,41
11657,12563,9.35,24.39,13.01,4.44,22.83
11663,19255,1.77,9.45,32.89,2.29,15.21
11671,62376,1.46,4.27,58.51,3.36,49.06
11676,19361,05.09,14.1,29.3,4.24,149.09
11683,8878,22.55,46.34,8.19,13.21,268.8
11706,13802,7.92,29.39,7.91,04.01,97.21
11708,13698,08.09,21.56,21.51,3.64,30.79
11712,17626,3.44,12.09,30.06,3.84,51.37
11714,16915,2.84,8.27,46.51,3.2,154.55
11727,13842,8.91,27.71,15.37,5.79,296.74
11732,20654,1.4,4.18,41.25,03.03,6.55
11739,15018,8.37,18.38,12,4.65,45.56
11751,11797,9.31,26.99,09.09,4.43,72.98
11766,10580,6.61,19.23,19.54,7.41,23.2
11768,29971,2.44,8.97,40.45,2.72,25.07
11795,16547,5.3,15.78,24.17,5.43,33.57
11796,16029,4.25,18.87,21.44,04.05,23.82
11804,9531,10.62,38.79,5.26,12.8,137.4
11804,16502,5.57,20.04,15.76,4.21,381.93
11818,25356,2.5,9.43,41.57,3.78,7.94
11820,10718,9.99,27.43,8.56,10.15,136.6
11822,16610,10.27,25.33,13.76,3.73,8.25
11824,12172,17.3,35.53,7.13,8.72,8.6
11838,10906,18.04,40.87,10.8,3.72,7.78
11865,26163,2.78,10.16,44.18,04.07,8.4
11874,15982,4.32,15.18,19.28,4.77,547.39
11880,12062,19.45,41.92,08.06,6.16,73.77
11886,9631,8.54,26.28,13.24,7.12,129.5
11929,22795,2.43,10.11,42.17,4.57,08.05
11936,16125,8.27,22.5,16.82,4.98,242.57
11938,13736,7.98,21.56,21.13,6.84,50.93
11949,10658,7.63,23.1,14.09,7.84,16.91
11951,14915,6.54,19.81,19.93,5.59,7.74
11952,10329,20.26,35.7,15.58,4.7,78.2
11961,11994,12.32,30.95,9.97,10.34,50.6
11967,9210,19.73,41.2,11.11,8.51,73.75
11980,29711,5.81,9.9,48.18,2.7,8.2
11980,15334,5.43,19.78,25.12,5.26,198.12
11982,11954,11.74,21.81,10.72,05.09,16.66
11992,10674,25.33,43.22,8.59,6.59,40.13
11997,15711,5.66,16.76,22.67,03.05,114.74
11999,16904,12.74,27.54,18.99,2.34,65.55
12001,9613,19.94,39.1,12.19,5.61,100.38
12016,21551,07.05,11.6,66.02,3.21,33.55
12023,11851,14.07,22.2,23.36,4.37,24.38
12035,14086,19.62,39.17,14.2,5.73,80.4
12038,13984,10.78,27.44,14.56,4.9,33.89
12053,23052,6.71,16.78,31.32,3.13,65.4
12054,10286,22.98,40.15,17.39,9.34,78.4
12060,13031,9.5,22.83,13.96,5.16,284.77
12066,21912,3.23,10.6,36.21,5.21,8
12069,7548,35.19,52.26,7.64,13.32,33.66
12084,17523,3.39,12.2,21.82,3.1,20.34
12101,10644,9.38,26.71,10.69,6.94,62.29
12105,14031,2.66,12.8,25.16,4.63,37.7
12123,23359,2.75,9.8,34.74,3.72,163.24
12127,11170,10.91,31.91,10.07,6.72,08.09
12131,14234,4.84,24.44,12.75,5.8,67.34
12133,14692,9.96,29.71,12.8,2.28,23.56
12135,9023,36.03,59.06,5.46,11.48,1095.18
12142,11554,6.56,26.3,9.82,7.89,39.38
12169,17671,2.24,10.18,26.83,3.88,08.08
12174,62482,0.41,1.46,79.18,1.55,23.84
12179,21465,3.75,12.21,35.98,2.8,24.22
12180,9781,15.78,43.45,3.27,15.73,310.29
12183,11668,18.32,38.79,15.26,6.23,214.17
12197,21818,04.06,12.41,40.79,02.09,24.18
12199,16819,11.01,28.15,15.09,7.2,107.84
12200,9834,11.26,28.75,17.11,8.52,632.71
12208,15640,18.92,34.16,14.86,4.66,56.57
12220,10626,1.7,9.1,22.85,3.21,17.35
12236,18319,6.98,13.33,30.66,1.79,58.37
12251,9995,12.51,27.71,19.28,7.9,8.27
12257,7554,13.67,27.97,27.59,16.51,147.06
12267,10815,16.88,38.75,9.62,7.49,49.99
12286,20518,5.61,13.97,31.53,03.09,78.98
12291,10161,16.53,37.76,13.67,4.15,60.94
12304,38831,3.29,7.57,55.89,1.79,73.92
12322,13662,7.97,24.1,17.99,4.97,83.33
12324,11809,9.21,23.91,11.56,11.6,249.19
12339,17063,7.3,21.79,16.85,4.43,16.54
12340,11004,10.08,26.9,13.74,4.48,8.13
12345,17764,2.41,10.01,27.18,3.3,75.42
12353,10180,14.38,26.87,13.79,8.38,36.6
12358,17593,7.74,22.67,16.3,4.62,32.33
12361,18146,2.74,7.72,42.86,3.24,11.21
12361,8465,5.15,16.94,29.81,08.07,14.58
12361,20597,4.13,10.4,41.26,3.47,37.55
12362,11327,15.26,24.12,18.84,4.36,7.93
12363,9997,8.65,21.66,10.49,9.88,119.84
12381,11677,8.52,22.95,9.99,6.24,31.77
12385,17363,15.25,29.51,27.55,8.2,233.23
12388,11458,15.8,28.61,14.12,3.9,43.16
12403,21387,2.15,6.44,44.02,03.06,23.78
12408,15387,1.84,7.5,14.35,4.97,12.62
12420,10334,14.58,33.09,16.06,7.91,30.4
12430,11447,5.4,15.88,31.31,6.45,63.84
12450,10729,10.79,28.95,8.19,11.85,437.33
12454,19507,8.4,21.54,21.32,4.59,15.9
12454,15924,8.68,22.02,15.22,4.56,78.45
12456,11772,10.27,26.15,15.47,5.19,152.45
12476,9359,19.11,37.61,12.59,8.72,70.4
12481,18531,6.39,13.67,32.04,5.77,7.93
12482,12798,08.08,25.86,11.78,06.08,87.97
12490,9661,13.58,36.98,14.22,10.18,293.79
12518,17849,4.72,11.9,28.96,4.54,15.84
12520,10760,13.95,34.23,17.7,4.75,136.21
12541,15171,2.88,12.18,18.05,4.93,30.51
12551,21223,2.66,9.53,40.05,3.98,7.22
12557,26241,3.11,7.55,46.14,05.03,7.73
12563,25883,4.76,10.34,42.97,3.83,7.88
12567,17231,04.04,17.2,22.09,4.72,14.55
12588,14337,7.74,25.45,16.18,6.67,22.87
12603,14281,10.6,32.12,8.25,5.28,16.2
12603,7355,7.68,17.72,31.01,11.35,71.17
12635,21748,3.16,12.08,34.36,4,23.12
12636,15366,10.2,28.14,14.28,03.05,62.25
12649,12256,12.78,36.6,6.44,5.92,56.32
12652,5586,43.86,59.01,8.54,18.14,54.24
12687,10166,11.46,25.18,13.7,9.17,41.82
12694,5237,44.5,58.05,7.6,17.42,41.06
12697,11216,12.41,37.21,6.79,5.71,7.67
12703,10964,13.43,20.81,20.51,2.18,21.81
12711,12900,04.09,16.84,15.71,5.29,14.77
12711,10659,17.13,33.6,15.18,5.42,15.97
12724,31967,2.33,6.98,45.54,3.12,5.29
12727,11034,15.8,25.73,13.05,6.85,7.42
12743,8354,34.36,50.72,8.98,14.95,73.42
12747,12703,7.23,24.24,9.21,8.32,53.45
12756,13149,12.26,29.67,17.34,5.75,110.81
12765,9367,19.56,39.11,13.46,8.82,93.85
12767,17698,3.18,14.15,26.46,4.84,30.4
12778,11608,10.92,28.86,9.57,5.19,72.33
12804,23174,5.65,14.54,37.58,3.14,91.78
12805,19197,7.1,21.14,22.81,5.37,69.37
12809,20125,2.98,8.97,39.12,2.46,30.57
12818,5622,21.21,52.61,3.29,28.94,1206.73
12822,6619,36.43,51.9,9.47,19.22,35.15
12823,9334,14.32,31.14,23.89,10.5,30.04
12828,12211,7.73,22.88,10.41,7.56,7.59
12830,26860,4.11,11.01,43.07,3.18,123.17
12839,10475,14.83,31.36,14.2,8.52,39.4
12841,12288,3.54,12.4,27.1,4.37,66
12844,20888,6.68,14.61,28.81,3.62,7.52
12849,5740,42.31,61.8,6.31,12.26,22.15
12863,11732,9.53,27.71,11.15,07.03,54.04
12915,8725,9.47,21.37,43.42,7.7,7.16
12922,10517,13.51,28.02,14.69,07.05,135.23
12929,11331,8.95,28.49,12.42,10.35,84.72
12942,14994,7.92,21.33,20.53,2.54,7.6
12959,49537,1.51,4.77,61.5,2.81,125.22
12967,11829,10.27,29.99,15.84,7.37,110.84
12974,15171,4.84,15.38,17.92,5.84,36.37
12996,19408,3.9,15.75,25.25,2.81,7.6
12996,24590,1.81,7.1,42.82,2.78,7.42
13020,14948,4.23,15.41,19.78,4.35,30.46
13024,13006,13.67,39.4,11.76,8.89,989.26
13030,12319,10.43,24.22,11.19,4.57,15.04
13038,36057,1.37,3.62,59.33,2.76,75.44
13051,9400,15.64,32.68,22.56,7.55,35.45
13055,18834,8.1,21.56,20.04,3.79,29.78
13057,15369,2.45,9.36,28.89,5.23,64.78
13057,18251,4.48,11.12,44.09,3.2,194.3
13068,14148,9.51,24.82,21.93,3.73,129.99
13083,18058,3.62,15.53,21.92,3.55,14.88
13086,11413,7.77,20.89,18.81,4.35,20.15
13087,13041,7.93,25.29,12.56,5.96,118.05
13088,28698,0.98,4.76,58.28,2.61,245.48
13092,16242,5,14.56,17.67,2.57,113.24
13116,14969,3.3,11.94,33.41,5.14,20.93
13131,11585,12.58,23.6,17.45,5.88,15.62
13142,9860,11.66,28.99,13.82,9,51.91
13142,19100,7.26,22.09,24.04,2.32,41.46
13145,10712,21.41,40.53,12.48,9.29,124.99
13176,7265,15.89,43.85,4.55,18.28,475.35
13176,13937,7.11,20.26,15.72,2.83,61.93
13178,17182,4.68,18.14,23.04,4.38,96.38
13187,18645,10.36,21.66,27.84,3.31,52.19
13198,39767,3.31,5.24,73.63,3.58,7.37
13220,11056,17.12,37.64,15.52,7.44,86.74
13222,15328,8.89,21.36,17.01,5.35,21.78
13228,27262,02.04,6.7,47.02,3.75,20.56
13229,23280,05.07,11.77,43.62,2,14.86
13241,10276,6.65,27.14,6.4,10.91,15.07
13243,13541,12.85,29.68,15.87,7.29,162.9
13268,15394,8.87,22.84,19.37,6.54,614.46
13279,20977,5.94,15.25,48.52,5.21,38.58
13280,11681,9.48,25.2,15.21,5.27,12.77
13289,17436,3.59,7.56,42.18,02.06,48.06
13296,19070,8.18,22.79,19.2,5.56,50.43
13316,14307,5.48,17.39,20.93,4.33,131.15
13324,18980,4.81,16.07,27.19,02.03,29.52
13325,14628,7.71,27.82,12.48,6.23,7.29
13326,36455,3.5,8.76,55.5,2.69,22.46
13334,14112,3.58,14.64,19.89,9.73,196.35
13352,14243,8.16,25.83,13.65,5.41,96.04
13364,8270,18.56,42.24,5.43,12.35,86.57
13364,7399,19.9,38.35,12.49,15.94,288.7
13367,12559,17.86,34.83,17,4.42,38.41
13367,17037,4.96,15.31,24.53,4.41,43.71
13371,14159,10.5,26.99,16.45,7.65,7.18
13383,14783,7.48,23.02,10.44,4.41,76.06
13400,24479,4.52,13.03,35.45,2.68,7.29
13404,9302,20.1,36.64,8.55,5.64,154.92
13420,27006,6.3,15.47,35.28,3.55,36.61
13425,13763,22.09,42.64,15.25,7.53,249.24
13441,8202,11.77,31.18,9.5,10.72,139.11
13443,8960,3.15,11.25,26.79,5.83,6.21
13476,8852,1.52,13.93,20.49,5.59,14.1
13496,11227,10.99,30.67,10.33,9.53,15.09
13502,10802,8.74,23.7,27.65,7.18,20.72
13532,11429,21.89,38,17.04,09.06,42.02
13547,9573,12.93,19.79,30.23,7.56,13.29
13547,8100,24.37,39.63,12.4,12.12,54.98
13553,12641,14.03,35.13,16.93,5.48,143.26
13559,10759,9.86,24.3,20.43,6.16,50.65
13584,11341,6.8,23.5,13.68,5.83,20.84
13597,27183,2.81,10.5,42.01,2.54,57.89
13603,10467,15.65,35.12,10.29,5.21,66.46
13645,14422,6.53,17.43,22.6,4.83,89.2
13647,11864,9.55,29.64,11.21,05.03,110.96
13650,25576,2.21,8.37,43.78,4.36,27.67
13658,16608,4.23,12.77,21.7,2.6,30.56
13683,20231,3.44,9.95,29.93,2.9,20.86
13692,16186,20.43,35.42,13.1,5.74,28.72
13700,18029,6.19,21.15,15.56,5.82,43.26
13739,9890,13.22,28.93,23.47,9.46,594.42
13747,15615,10.23,23.73,22.6,3.75,51
13786,12130,15.57,32.53,14.88,4.66,61.12
13790,18341,10.85,26.69,16.56,4.71,56.4
13794,15745,8.86,23.91,9.87,3.62,28.33
13798,10272,14.39,24.49,15.45,4.67,7.1
13800,17679,5.91,14.77,26.1,4.16,99.36
13812,25054,3.21,11.87,36.01,2.73,13.98
13817,12219,10.44,30.4,11.33,5.94,21
13842,24462,2.73,7.59,48.93,2.69,160.6
13852,15525,15.41,31.08,18.72,7.45,6.85
13864,15811,7.69,23.61,24.42,5.13,403.12
13864,15436,2.21,11.64,25.33,8.65,20.41
13874,31122,1.23,3.63,66.98,2.74,137.44
13874,15892,4.21,17.33,15.84,4.14,55.8
13882,15627,7.65,19.58,16.17,4.39,28.45
13882,16021,7.1,12.68,28.82,2.8,12.42
13883,10459,18.52,38.51,10.94,6.75,41.18
13887,11090,3.44,22.66,11.22,10.08,6.61
13899,14846,8.6,21.95,12.58,5.67,84.73
13899,10343,11.66,37.09,3.91,7.58,125.82
13937,34204,2.96,7.26,52.37,02.09,21.5
13950,9512,2.54,14.49,19.34,4.52,18.61
13954,9773,7.64,20.13,30.81,5.3,15.35
13983,8254,25.43,46.75,11.22,11.14,150.92
13986,11166,17.07,35.18,13.62,6.83,6.76
13989,10172,12.6,29.22,10.18,11.19,93.69
14044,11294,10.26,32.74,8.24,5.97,104.43
14049,10458,24.88,44.71,10.09,6.23,81.63
14061,22884,9.55,26.13,24.07,3.87,103.57
14062,10443,13.14,36.28,12.31,7.88,114.8
14073,11563,14.44,32.13,16.72,8.38,133.6
14088,18677,9.28,17.23,35.24,2.57,368.14
14090,10247,11.83,23.16,28.32,6.71,13.42
14096,11520,11.58,28.76,16.82,7.44,34.63
14113,24277,03.02,9.47,41.24,4.14,6.98
14116,22615,3.24,8.19,53.98,2.78,102.71
14120,12466,9.78,27.01,12.18,9.79,106.23
14133,20922,3.83,9.35,39.65,4.41,13.58
14143,11126,9.59,24.81,17.44,6.81,42.13
14167,19370,3.65,12.43,36.62,2.64,13.88
14192,12012,18.45,41.63,11.72,5.11,248.26
14203,12112,12.15,29.5,13.03,8.17,12.18
14207,8462,28.32,51.75,04.08,8.2,139.94
14213,27799,1.42,3.84,59.22,3.39,40.52
14215,11064,13.76,34.07,18.55,7.35,327.1
14256,10527,15.3,32.93,12.1,6.56,90.1
14272,27040,1.31,4.46,61.25,1.96,21.16
14280,8232,17.76,38.45,9.72,14.82,246.54
14288,18031,8.73,20.88,18.61,4.71,6.91
14292,8854,17.9,35.87,14.85,8.38,201.43
14312,16023,13.46,29.53,19.05,5.39,34.29
14358,33441,1.24,04.03,63.25,2.65,6.72
14363,12935,12.45,31.09,7.3,7.86,27.54
14369,15169,10.58,24.42,14.7,3.26,82.11
14378,16583,4.22,16.06,19.4,5.14,39.41
14396,15352,5.62,15.58,19.29,4.55,133.97
14399,13856,17.68,34.12,11.63,3.35,40.1
14427,16529,6.32,16.88,25.62,2.65,15.11
14439,9771,13.01,24.76,27.11,6.93,20.82
14451,17917,4.25,13.26,29.31,4.11,07.09
14467,24417,3.24,7.86,38.97,3.39,13.59
14475,11164,12.27,29.52,14.83,6.93,278.33
14490,17229,5.96,13.83,26.47,2.95,6.73
14507,15356,8.2,20.25,23.29,04.06,28.93
14510,22124,4.85,14.01,36.07,2.34,6.78
14514,10915,7.74,15.48,35.68,03.05,6.21
14519,11345,18.32,36.97,12.11,10.21,105.4
14536,17995,10.5,22.03,26.55,5.45,52.63
14544,16531,2.4,12.83,21.9,7.29,25.86
14548,14405,5.45,14.97,28.11,3.93,33.89
14558,14181,6.91,23.47,11.79,4.41,28.89
14579,15338,7.85,15.12,33.78,4.28,45.95
14583,19389,4.97,14.58,27.88,4.1,147.39
14589,15527,4.78,15.31,21.12,4.38,35.59
14599,11533,7.54,23.71,13.94,7.2,102.5
14621,15039,6.9,18.3,20.3,5.66,27.07
14629,20422,7.57,19.18,23.56,04.08,46.64
14637,18329,2.55,10,27.12,4.97,6.63
14658,13906,4.98,16.66,25.78,6.83,78.39
14669,11889,16.77,38.97,15.76,8.57,435.68
14698,12106,6.13,19.12,12.76,3.41,97.65
14716,11356,13.34,33.43,12.03,6.16,335.02
14729,8156,34.76,48.56,12.46,13.57,37.72
14731,12247,8.78,26.39,11.71,7.78,6.55
14732,13645,7.82,22.15,24.38,2.83,11.49
14745,8977,25.43,43.25,11.48,7.7,59.48
14748,18909,3.98,12.34,29.85,4.13,73.53
14757,8175,27.77,46.07,8.91,17.23,181.83
14771,13547,11.19,30.12,11.83,7.94,19.84
14790,18705,3.26,9.16,47,4.65,97.77
14804,11859,11.42,29.25,15.82,5.21,54.79
14837,18400,05.07,17.21,26.25,2.28,161.71
14842,12048,12.93,26.71,23.17,5.26,27.89
14852,23729,4.44,10.16,45.16,2.5,25.08
14865,9714,23.43,45.64,13.36,7.72,318.07
14869,22647,1.33,5.95,54.76,2.57,66.18
14870,9017,15.47,37.38,11.25,9.68,20.1
14870,15576,5.23,17.19,20.49,5.36,65.01
