POPULACAO,RENDA,SEM_BASICO,SEM_MEDIO,COM_SUPERIOR,DESEMPREGADOS,VIOLENTOS,N_VIOLENTOS,CRIMES
11215,19678,6.71,18.58,21.07,6.12,756.05,5430.83,6186.88
11216,17783,6.2,21.19,20.36,3.44,207.79,2839.83,3047.62
11218,8262,28.57,49.27,04.01,8.37,809.39,6620.59,7429.98
11219,15576,7.44,21.3,17.76,2.2,627.84,10698.06,11325.9
11224,11587,7.83,22.71,13.11,10.57,61.33,3451.9,3513.23
11227,11256,19.77,40.08,10.47,6.1,1390.25,6593.18,7983.43
11234,18481,5.48,16.67,29.34,4.23,124.32,5834.3,5958.62
11235,10965,12.99,26.49,14.51,6.5,1143.9,9143.9,10287.8
11238,8173,32.85,52.91,10.17,14.88,944.85,11622.37,12567.22
11249,13495,12,25.29,13.57,5.32,80.12,3071.31,3151.43
11257,12073,9.38,23.53,12.43,3.63,116.97,3136.19,3253.16
11272,8780,3.16,14.94,12.98,6.41,108.49,3681.47,3789.96
11280,14684,0.74,5.4,35.93,2.94,179.32,2541.71,2721.03
11284,13605,5.78,13.91,26.83,2.91,54.75,5552.95,5607.7
11290,12249,15.1,30.01,13.93,4.48,150.04,2338.92,2488.96
11294,21204,6.17,17.56,27.34,3.97,320.4,4460.37,4780.77
11304,11483,9.78,29.14,12.54,7.86,60.84,2138.2,2199.04
11305,8145,21.67,41.04,9.98,12.87,1204.92,6827.88,8032.8
11312,16975,6.87,19.9,21.92,2.27,171.06,6072.7,6243.76
11329,12818,8.55,21.93,14.26,6.74,66.33,3523.75,3590.08
11343,26855,1.99,10.3,31.13,2.95,268.82,4068.1,4336.92
11353,12412,7.84,26.21,12.16,7.28,279.45,4293.34,4572.79
11354,18629,4.71,18.67,21.15,4.35,348.32,5382.32,5730.64
11389,8900,21.4,41.9,6.41,9.57,592.34,5201.23,5793.57
11414,10678,15.69,32.07,14.23,4.36,1165.91,6696.33,7862.24
11427,24281,4.41,12.49,30.49,3.46,43.71,1118.88,1162.59
11432,15795,4.83,15.77,18.98,3.15,105.96,5792.49,5898.45
11439,29773,4.91,9.49,48.6,2.71,49.56,1032.55,1082.11
11451,12444,8.78,24.91,12.28,10.77,1064.63,2975.94,4040.57
11452,15866,5.43,16.17,20.29,2.84,134.91,2286.01,2420.92
11472,10197,25.14,40.17,11.44,7.44,736.96,4186.91,4923.87
11475,13836,6.47,22.93,14.11,5.33,168.99,2729.19,2898.18
11488,21339,6.18,20.42,22.04,4.58,84.88,3140.65,3225.53
11492,6786,14.04,39.3,07.01,8.83,131.14,1786.74,1917.88
11500,12078,0.2,5.85,32.44,5.32,127.76,3080.42,3208.18
11514,11006,19.15,39.18,9.78,7.47,1514.12,7655.67,9169.79
11530,11822,6.97,16.26,42.9,4.87,212.83,3689.11,3901.94
11532,32427,5.78,12.06,46.78,2.67,99.47,2138.59,2238.06
11538,22546,6.25,15.65,34.53,2.97,92.04,1773.91,1865.95
11553,12604,3.41,11.13,56.72,4.87,585.46,6568.61,7154.07
11587,16273,3.88,11.61,28.41,2.67,212.78,2173.42,2386.2
11590,29397,3.77,11.44,46.09,2.15,444.97,7085.89,7530.86
11591,8539,15.74,35.93,15.95,10.95,750.53,8117.15,8867.68
11628,28763,2.15,8.86,55.62,1.78,68.71,3366.83,3435.54
11632,17804,9.36,21.7,24.47,5.46,220.3,4658.94,4879.24
11643,9157,19.14,40.41,15.11,12.39,936.82,8086.64,9023.46
11656,12820,08.02,23.14,15.25,5.63,459.24,3345.91,3805.15
11657,12563,9.35,24.39,13.01,4.44,30.44,2184.17,2214.61
11671,62376,1.46,4.27,58.51,3.36,140.18,4247.56,4387.74
11676,19361,05.09,14.1,29.3,4.24,356.17,4472.79,4828.96
11683,8878,22.55,46.34,8.19,13.21,1083.09,10253.78,11336.87
11706,13802,7.92,29.39,7.91,04.01,106.04,3614.35,3720.39
11708,13698,08.09,21.56,21.51,3.64,153.93,2285.85,2439.78
11712,17626,3.44,12.09,30.06,3.84,231.16,1832.19,2063.35
11714,16915,2.84,8.27,46.51,3.2,252.9,5212.5,5465.4
11727,13842,8.91,27.71,15.37,5.79,1305.64,8707.08,10012.72
11739,15018,8.37,18.38,12,4.65,258.16,5011.39,5269.55
11766,10580,6.61,19.23,19.54,7.41,170.15,3480.28,3650.43
11768,29971,2.44,8.97,40.45,2.72,83.56,2105.79,2189.35
11795,16547,5.3,15.78,24.17,5.43,243.35,2827.89,3071.24
11796,16029,4.25,18.87,21.44,04.05,142.9,3876.15,4019.05
11804,9531,10.62,38.79,5.26,12.8,1687.02,8763.36,10450.38
11804,16502,5.57,20.04,15.76,4.21,838.59,9407.17,10245.76
11818,25356,2.5,9.43,41.57,3.78,39.71,905.48,945.19
11820,10718,9.99,27.43,8.56,10.15,739.25,8155.89,8895.14
11822,16610,10.27,25.33,13.76,3.73,90.74,2408.84,2499.58
11824,12172,17.3,35.53,7.13,8.72,137.59,1642.45,1780.04
11865,26163,2.78,10.16,44.18,04.07,84.02,2377.75,2461.77
11874,15982,4.32,15.18,19.28,4.77,1634.34,24116.36,25750.7
11880,12062,19.45,41.92,08.06,6.16,177.04,4086.75,4263.79
11886,9631,8.54,26.28,13.24,7.12,493.73,9307.97,9801.7
11929,22795,2.43,10.11,42.17,4.57,209.22,1335.8,1545.02
11936,16125,8.27,22.5,16.82,4.98,1095.46,8356.81,9452.27
11949,10658,7.63,23.1,14.09,7.84,109.9,3998.65,4108.55
11952,10329,20.26,35.7,15.58,4.7,742.94,5802.77,6545.71
11961,11994,12.32,30.95,9.97,10.34,346.97,5255.17,5602.14
11967,9210,19.73,41.2,11.11,8.51,934.12,5735.82,6669.94
11980,29711,5.81,9.9,48.18,2.7,41.02,1394.59,1435.61
11980,15334,5.43,19.78,25.12,5.26,354.96,4424.63,4779.59
11982,11954,11.74,21.81,10.72,05.09,74.96,2657,2731.96
11992,10674,25.33,43.22,8.59,6.59,698.18,2760.61,3458.79
11997,15711,5.66,16.76,22.67,03.05,450.75,4179.64,4630.39
11999,16904,12.74,27.54,18.99,2.34,147.49,4285.48,4432.97
12001,9613,19.94,39.1,12.19,5.61,2451.06,4810.11,7261.17
12016,21551,07.05,11.6,66.02,3.21,83.89,5041.52,5125.41
12035,14086,19.62,39.17,14.2,5.73,716.27,5562.05,6278.32
12038,13984,10.78,27.44,14.56,4.9,118.6,2685.53,2804.13
12053,23052,6.71,16.78,31.32,3.13,384.21,2542.3,2926.51
12054,10286,22.98,40.15,17.39,9.34,669.95,4632.6,5302.55
12060,13031,9.5,22.83,13.96,5.16,771.88,9779.68,10551.56
12066,21912,3.23,10.6,36.21,5.21,351.8,775.57,1127.37
12069,7548,35.19,52.26,7.64,13.32,235.59,3474.97,3710.56
12084,17523,3.39,12.2,21.82,3.1,81.34,3280.91,3362.25
12101,10644,9.38,26.71,10.69,6.94,537.26,7249.09,7786.35
12105,14031,2.66,12.8,25.16,4.63,173.4,4704.46,4877.86
12123,23359,2.75,9.8,34.74,3.72,620.31,10218.74,10839.05
12127,11170,10.91,31.91,10.07,6.72,194.19,2330.29,2524.48
12131,14234,4.84,24.44,12.75,5.8,336.7,3661.62,3998.32
12133,14692,9.96,29.71,12.8,2.28,125.67,2599.75,2725.42
12135,9023,36.03,59.06,5.46,11.48,2584.96,13802.54,16387.5
12142,11554,6.56,26.3,9.82,7.89,259.88,3016.22,3276.1
12169,17671,2.24,10.18,26.83,3.88,56.56,2108.75,2165.31
12179,21465,3.75,12.21,35.98,2.8,56.51,5085.98,5142.49
12183,11668,18.32,38.79,15.26,6.23,499.72,8043.15,8542.87
12197,21818,04.06,12.41,40.79,02.09,56.43,1644.5,1700.93
12199,16819,11.01,28.15,15.09,7.2,190.79,4180.84,4371.63
12208,15640,18.92,34.16,14.86,4.66,234.34,3434.34,3668.68
12220,10626,1.7,9.1,22.85,3.21,190.84,3302.11,3492.95
12236,18319,6.98,13.33,30.66,1.79,141.75,3985.66,4127.41
12251,9995,12.51,27.71,19.28,7.9,124.1,5824.44,5948.54
12257,7554,13.67,27.97,27.59,16.51,1282.68,8545.75,9828.43
12267,10815,16.88,38.75,9.62,7.49,149.98,2199.63,2349.61
12286,20518,5.61,13.97,31.53,03.09,134.26,3269.63,3403.89
12291,10161,16.53,37.76,13.67,4.15,358.01,5408.29,5766.3
12304,38831,3.29,7.57,55.89,1.79,147.83,3030.55,3178.38
12322,13662,7.97,24.1,17.99,4.97,716.61,5232.9,5949.51
12324,11809,9.21,23.91,11.56,11.6,1230.84,7332.18,8563.02
12339,17063,7.3,21.79,16.85,4.43,57.88,983.96,1041.84
12340,11004,10.08,26.9,13.74,4.48,463.3,3096.81,3560.11
12345,17764,2.41,10.01,27.18,3.3,211.18,7240.37,7451.55
12358,17593,7.74,22.67,16.3,4.62,137.42,2214.86,2352.28
12361,18146,2.74,7.72,42.86,3.24,302.76,2315.54,2618.3
12361,8465,5.15,16.94,29.81,08.07,196.79,4810.5,5007.29
12361,20597,4.13,10.4,41.26,3.47,232.79,3101.3,3334.09
12363,9997,8.65,21.66,10.49,9.88,981.2,7182.98,8164.18
12381,11677,8.52,22.95,9.99,6.24,150.9,2422.37,2573.27
12385,17363,15.25,29.51,27.55,8.2,583.07,5690.74,6273.81
12388,11458,15.8,28.61,14.12,3.9,105.5,3879.54,3985.04
12403,21387,2.15,6.44,44.02,03.06,71.35,4043.13,4114.48
12420,10334,14.58,33.09,16.06,7.91,782.85,4263.89,5046.74
12430,11447,5.4,15.88,31.31,6.45,361.75,7653.57,8015.32
12450,10729,10.79,28.95,8.19,11.85,851.23,5138.62,5989.85
12454,19507,8.4,21.54,21.32,4.59,71.54,1438.79,1510.33
12454,15924,8.68,22.02,15.22,4.56,439.32,4950.18,5389.5
12476,9359,19.11,37.61,12.59,8.72,288.65,2970.99,3259.64
12481,18531,6.39,13.67,32.04,5.77,63.43,1791.94,1855.37
12482,12798,08.08,25.86,11.78,06.08,463.85,4526.55,4990.4
12490,9661,13.58,36.98,14.22,10.18,851.22,6410.55,7261.77
12518,17849,4.72,11.9,28.96,4.54,110.86,3436.53,3547.39
12551,21223,2.66,9.53,40.05,3.98,21.66,2642.98,2664.64
12557,26241,3.11,7.55,46.14,05.03,69.58,1469,1538.58
12563,25883,4.76,10.34,42.97,3.83,31.51,992.67,1024.18
12567,17231,04.04,17.2,22.09,4.72,298.25,2880.63,3178.88
12588,14337,7.74,25.45,16.18,6.67,442.24,1921.46,2363.7
12603,14281,10.6,32.12,8.25,5.28,81.02,1531.36,1612.38
12635,21748,3.16,12.08,34.36,4,208.06,2743.32,2951.38
12636,15366,10.2,28.14,14.28,03.05,155.62,3906.01,4061.63
12649,12256,12.78,36.6,6.44,5.92,160.93,3154.17,3315.1
12652,5586,43.86,59.01,8.54,18.14,284.75,8922.03,9206.78
12687,10166,11.46,25.18,13.7,9.17,223.06,4642.41,4865.47
12694,5237,44.5,58.05,7.6,17.42,1266.08,2607.45,3873.53
12697,11216,12.41,37.21,6.79,5.71,69,1694.27,1763.27
12703,10964,13.43,20.81,20.51,2.18,189.01,3518.46,3707.47
12711,12900,04.09,16.84,15.71,5.29,155.04,3521.59,3676.63
12711,10659,17.13,33.6,15.18,5.42,39.92,1892.37,1932.29
12724,31967,2.33,6.98,45.54,3.12,31.75,1423.43,1455.18
12727,11034,15.8,25.73,13.05,6.85,51.91,3374.37,3426.28
12743,8354,34.36,50.72,8.98,14.95,587.33,4977.61,5564.94
12756,13149,12.26,29.67,17.34,5.75,324.52,2857.37,3181.89
12765,9367,19.56,39.11,13.46,8.82,594.35,4606.24,5200.59
12767,17698,3.18,14.15,26.46,4.84,68.39,1732.65,1801.04
12778,11608,10.92,28.86,9.57,5.19,618.06,5799.2,6417.26
12804,23174,5.65,14.54,37.58,3.14,183.56,2699.81,2883.37
12805,19197,7.1,21.14,22.81,5.37,146.46,2489.79,2636.25
12822,6619,36.43,51.9,9.47,19.22,161.69,6854.13,7015.82
12823,9334,14.32,31.14,23.89,10.5,360.5,6023.28,6383.78
12830,26860,4.11,11.01,43.07,3.18,138.57,6497.31,6635.88
12839,10475,14.83,31.36,14.2,8.52,985.03,4767.53,5752.56
12841,12288,3.54,12.4,27.1,4.37,824.95,2826.82,3651.77
12844,20888,6.68,14.61,28.81,3.62,112.75,2322.61,2435.36
12849,5740,42.31,61.8,6.31,12.26,420.91,5095.26,5516.17
12863,11732,9.53,27.71,11.15,07.03,108.07,4585.46,4693.53
12915,8725,9.47,21.37,43.42,7.7,150.31,2898.86,3049.17
12922,10517,13.51,28.02,14.69,07.05,1502.52,4492.52,5995.04
12929,11331,8.95,28.49,12.42,10.35,169.44,5460.57,5630.01
12942,14994,7.92,21.33,20.53,2.54,159.55,1671.48,1831.03
12959,49537,1.51,4.77,61.5,2.81,198.88,1996.17,2195.05
12967,11829,10.27,29.99,15.84,7.37,508.57,2549.39,3057.96
12974,15171,4.84,15.38,17.92,5.84,349.17,3673.53,4022.7
12996,19408,3.9,15.75,25.25,2.81,53.2,1968.23,2021.43
12996,24590,1.81,7.1,42.82,2.78,141.03,1039.19,1180.22
13020,14948,4.23,15.41,19.78,4.35,91.37,3114.06,3205.43
13024,13006,13.67,39.4,11.76,8.89,2649.8,15920.01,18569.81
13030,12319,10.43,24.22,11.19,4.57,45.13,2858.43,2903.56
13038,36057,1.37,3.62,59.33,2.76,286.66,4277.31,4563.97
13051,9400,15.64,32.68,22.56,7.55,63.81,453.77,517.58
13055,18834,8.1,21.56,20.04,3.79,141.44,2590.64,2732.08
13057,18251,4.48,11.12,44.09,3.2,699.49,6028.22,6727.71
13068,14148,9.51,24.82,21.93,3.73,485.77,6499.73,6985.5
13086,11413,7.77,20.89,18.81,4.35,235.04,4378.48,4613.52
13087,13041,7.93,25.29,12.56,5.96,1032.91,5267.82,6300.73
13088,28698,0.98,4.76,58.28,2.61,282.67,4202.93,4485.6
13092,16242,5,14.56,17.67,2.57,186.04,6834.91,7020.95
13116,14969,3.3,11.94,33.41,5.14,286.09,4340.24,4626.33
13131,11585,12.58,23.6,17.45,5.88,46.85,3817.93,3864.78
13142,9860,11.66,28.99,13.82,9,400.42,5613.23,6013.65
13142,19100,7.26,22.09,24.04,2.32,316.14,2746.83,3062.97
13145,10712,21.41,40.53,12.48,9.29,393.73,3049.81,3443.54
13176,13937,7.11,20.26,15.72,2.83,487.73,4250.21,4737.94
13178,17182,4.68,18.14,23.04,4.38,378.11,3024.91,3403.02
13187,18645,10.36,21.66,27.84,3.31,74.56,3183.72,3258.28
13198,39767,3.31,5.24,73.63,3.58,73.73,1946.47,2020.2
13222,15328,8.89,21.36,17.01,5.35,500.94,1989.26,2490.2
13228,27262,02.04,6.7,47.02,3.75,185.08,2796.82,2981.9
13229,23280,05.07,11.77,43.62,2,156.08,1843.18,1999.26
13241,10276,6.65,27.14,6.4,10.91,97.97,2449.13,2547.1
13243,13541,12.85,29.68,15.87,7.29,651.61,2302.85,2954.46
13268,15394,8.87,22.84,19.37,6.54,950.27,8202.34,9152.61
13279,20977,5.94,15.25,48.52,5.21,84.88,2253.09,2337.97
13280,11681,9.48,25.2,15.21,5.27,210.67,3255.87,3466.54
13289,17436,3.59,7.56,42.18,02.06,75.52,3295.57,3371.09
13296,19070,8.18,22.79,19.2,5.56,86.45,3385.92,3472.37
13316,14307,5.48,17.39,20.93,4.33,480.89,4352.99,4833.88
13324,18980,4.81,16.07,27.19,02.03,81.17,2627.11,2708.28
13325,14628,7.71,27.82,12.48,6.23,233.22,2973.54,3206.76
13326,36455,3.5,8.76,55.5,2.69,44.92,1849.22,1894.14
13352,14243,8.16,25.83,13.65,5.41,452.4,3389.19,3841.59
13364,8270,18.56,42.24,5.43,12.35,764.68,2395.04,3159.72
13364,7399,19.9,38.35,12.49,15.94,1317.64,10171,11488.64
13367,17037,4.96,15.31,24.53,4.41,276.81,27119.76,27396.57
13371,14159,10.5,26.99,16.45,7.65,674.75,1636.64,2311.39
13383,14783,7.48,23.02,10.44,4.41,167.34,3772.72,3940.06
13400,24479,4.52,13.03,35.45,2.68,51.04,1173.9,1224.94
13404,9302,20.1,36.64,8.55,5.64,521.09,6724.88,7245.97
13420,27006,6.3,15.47,35.28,3.55,109.84,3617.46,3727.3
13425,13763,22.09,42.64,15.25,7.53,581.57,5188.82,5770.39
13441,8202,11.77,31.18,9.5,10.72,995.75,6252.75,7248.5
13443,8960,3.15,11.25,26.79,5.83,93.16,3421.94,3515.1
13476,8852,1.52,13.93,20.49,5.59,103.43,2712.74,2816.17
13496,11227,10.99,30.67,10.33,9.53,165.96,4888.35,5054.31
13502,10802,8.74,23.7,27.65,7.18,62.17,4759.27,4821.44
13532,11429,21.89,38,17.04,09.06,413.19,5448.56,5861.75
13547,9573,12.93,19.79,30.23,7.56,39.87,6199.75,6239.62
13547,8100,24.37,39.63,12.4,12.12,691.17,5340.87,6032.04
13553,12641,14.03,35.13,16.93,5.48,1289.31,6955.09,8244.4
13559,10759,9.86,24.3,20.43,6.16,126.61,4051.66,4178.27
13584,11341,6.8,23.5,13.68,5.83,62.53,5822.68,5885.21
13597,27183,2.81,10.5,42.01,2.54,188.13,1960.93,2149.06
13603,10467,15.65,35.12,10.29,5.21,471.89,3728.57,4200.46
13645,14422,6.53,17.43,22.6,4.83,208.13,2921.28,3129.41
13647,11864,9.55,29.64,11.21,05.03,292,3071.89,3363.89
13650,25576,2.21,8.37,43.78,4.36,96.85,3147.7,3244.55
13658,16608,4.23,12.77,21.7,2.6,61.12,2573.19,2634.31
13683,20231,3.44,9.95,29.93,2.9,323.35,1324.71,1648.06
13692,16186,20.43,35.42,13.1,5.74,272.83,1744.69,2017.52
13700,18029,6.19,21.15,15.56,5.82,216.29,2718.1,2934.39
13739,9890,13.22,28.93,23.47,9.46,1790.5,10344.33,12134.83
13747,15615,10.23,23.73,22.6,3.75,480.87,2557.38,3038.25
13790,18341,10.85,26.69,16.56,4.71,155.09,2629.54,2784.63
13794,15745,8.86,23.91,9.87,3.62,92.08,2075.36,2167.44
13798,10272,14.39,24.49,15.45,4.67,198.79,4195.95,4394.74
13800,17679,5.91,14.77,26.1,4.16,221.64,5411.19,5632.83
13812,25054,3.21,11.87,36.01,2.73,160.76,1579.65,1740.41
13817,12219,10.44,30.4,11.33,5.94,538.88,4674.92,5213.8
13842,24462,2.73,7.59,48.93,2.69,347.97,3693.79,4041.76
